Ion Type,Structure Group,Activation Energy Ea (eV),Conductivity σ (S/cm),Superionic Conductor Formula (Chemical)
Li+,Other,0.197,0.00302,Li₀.₃₈₈Ta₀.₂₃₈La₀.₄₇₅Cl₃
Li+,Other,0.371,0.00214,"β-Li₃N (vacancy-rich, 400 rpm – 16 h)"
Li+,Other,0.32,0.0003,Li₇La₃Zr₂O₁₂ (LLZO)
Li+,Other,0.267,0.074,Li₅B₇S₁₃
Li+,Other,0.32,0.0097,Li₂B₂S₅
Li+,Halide,0.351,0.0003,Li₃ErCl₆
Li+,Halide,0.29,0.001,Li₃InCl₆
Li+,Halide,0.41,0.0003,Li₃ErCl₆ (ball-milled)
Li+,Halide,0.48,5e-05,Li₃ErCl₆ (annealed)
Li+,Other,0.175,0.012,Li₁₀GeP₂S₁₂ (LGPS)
Li+,Argyrodite,0.4,2.87e-05,Li₆PS₅Cl (annealed 200 °C)
Li+,Argyrodite,0.4,0.000296,Li₆PS₅Cl (annealed 300 °C)
Li+,Argyrodite,0.4,0.000549,Li₆PS₅Cl (annealed 400 °C)
Li+,Argyrodite,0.26,0.000793,"Li₆PS₅Cl (annealed 500 °C, pellet)"
Li+,Argyrodite,0.26,0.000743,"Li₆PS₅Cl (thin film, 500 °C)"
Li+,Other,0.175,0.012,Li₁₀GeP₂S₁₂ (LGPS)
K+,Other,0.27,2.5e-06,β-K₃SbS₄
K+,Other,0.27,7.7e-05,K₂.92Sb₀.92W₀.08S₄
Li+,Other,0.43,9.9e-06,Li₇La₃Zr₂O₁₂ (LLZ)
Li+,Other,0.42,0.00041,Li₆.₇₅La₃Zr₁.₇₅Ta₀.₂₅O₁₂
Li+,Other,0.4,0.00061,Li₆.₅La₃Zr₁.₅Ta₀.₅O₁₂
Li+,Other,0.42,0.00021,Li₆La₃ZrTaO₁₂
Li+,Argyrodite,0.135,6e-06,Li₆PS₅Cl
Na+,Other,0.24,0.00255,Na₁₁Sn₂PS₁₂
Na+,Other,0.31,0.003,Na₁₁Sn₂PSe₁₂
Na+,Other,0.34,0.0005499999999999,Na₁₁Sn₂SbS₁₂
Na+,NASICON,0.28,0.165,Na₃Zr₂Si₂P₁O₁₂
Na+,NASICON,0.32,0.165,Na₃.₄Zr₂Si₂.₄P₀.₆O₁₂
Ag+,Other,0.12,1e-05,KAg₃Se₂ (α-phase)
Li+,Halide,0.22,0.00014,Li₃YCl₆
Li+,Halide,0.22,0.0061,Li₃YCl₄.₅Br₁.₅
Li+,Halide,0.25,0.011,Li₃GdCl₃Br₃
Li+,Other,0.175,0.012,Li₁₀GeP₂S₁₂ (LGPS)
Li+,Other,0.2,0.023,Li₁₀SiP₂S₁₂
Li+,Other,0.24,0.006,Li₁₀SnP₂S₁₂
Li+,Other,0.26,0.004,Li₉P₃S₁₂
Li+,Other,0.18,0.033,Li₁₁AlP₂S₁₂
Li+,Other,0.36,3e-05,Li₁₀GeP₂O₁₂
Li+,Other,0.19,0.024,Li₁₀GeP₂Se₁₂
Rb+,Amorphous,0.97,0.0009699999999999,(Rb₂O)₃₀(B₂O₃)₇₀
Li+,Argyrodite,0.135,6e-06,Li₆PS₅Cl
Li+,Argyrodite,0.255,0.001,Li₆PS₅Br
Li+,Argyrodite,0.47,1e-06,Li₆PS₅I
Li+,Argyrodite,0.3,0.001,Li₆PS₅Cl₀.₅Br₀.₅
Li+,Argyrodite,0.375,2.5e-05,Li₆PS₅Cl₁/₃Br₁/₃I₁/₃
Ag+,Halide,0.06,0.015,"AgI (PVP-coated nanoparticles, 10–41 nm)"
Li+,Other,0.134,6.24e-05,Li₂Mo₃S₄
Li+,Other,0.341,0.00013,Li₆.₅Ta₀.₅W₀.₅N₄
Li+,Other,0.287,0.00063,Li₆.₅Nb₀.₅W₀.₅N₄
Li+,Other,0.309,0.00174,Li₇PSe₆
Li+,Other,0.314,0.00127,Li₁₀Ge(PSe₆)₂
Li+,Other,0.306,0.0014,Li₁₀Sn(PSe₆)₂
Li+,Other,0.329,0.00086,Li₁₀Si(PSe₆)₂
Li+,Other,0.214,0.017,Li₂Mn₀.₇₅Ta₀.₅Sn₀.₅S₄
Li+,Other,0.363,0.00021,Li₂Zn₀.₅TaS₄
Li+,Other,0.216,0.0218,Li₇Cu₂N₃
Li+,Other,0.351,0.0005,Li₅SiP₃ (doped V)
Li+,Other,0.308,0.0027,Li₁₄MgSi₄ (doped Hf)
Li+,Other,0.351,0.0005,Li₂MgSi (doped Hf)
Li+,Other,0.2,0.0025,Li₂₁Ge₈P₃S₃₄
Li+,Halide,0.287,0.00205,Li₂.₁Zr₀.₉₅Cu₀.₀₅Cl₄.₄O₀.₈
Li+,Argyrodite,0.17,0.0127,Li₇₋ₓ(GeSi)(₁₋ₓ)/₂SbₓS₅I (x≈1/3)
Li+,Spinel,0.26,0.0011,Li₃.₆In₇S₁₁.₈Cl
Li+,Halide,0.34,0.00087,Li₂.₃₇₅Al₀.₃₇₅Zr₀.₆₂₅Cl₆
Li+,Halide,0.24,0.0107,LiNbOCl₄
Li+,Halide,0.205,0.0124,LiTaOCl₄
Li+,Halide,0.185,0.009,LiSbOCl₄
Li+,Halide,0.185,0.01,LiTiFCl₄
Li+,Halide,0.185,0.01,LiZrFCl₄
Li+,Halide,0.2,0.0001375,LiHfFCl₄
Li+,Halide,0.185,0.01,LiSnFCl₄
Li+,Other,0.21,0.00027,EG–TiO₂ + LiTFSI (surface conductor)
Li+,Other,0.12,0.00034,LixLa₂/₃–x/3TiO₃ (0 ≤ x ≤ 0.5)
Li+,Spinel,0.2515,0.000409,Li₁₇In₉SnO₂₄ (o-LISO)
Na+,NASICON,0.3382,0.00038,Na₃Zr₂Si₂PO₁₂ (NZSP)
Na+,NASICON,0.2721,0.00158,Na₃.₂₀Zr₁.₉₀Zn₀.₁₀Si₂PO₁₂
Na+,NASICON,0.312,0.00075,Na₃.₁₀Zr₁.₉₀Al₀.₁₀Si₂PO₁₂
Na+,NASICON,0.285,0.0037,Na₃.₄Zr₂Si₂.₄P₀.₆O₁₂ (NaZr)
Na+,NASICON,0.315,0.0027,Na₃.₄Sc₀.₄Zr₁.₆Si₂PO₁₂ (NaSc)
Na+,NASICON,0.313,0.0002,Na₃.₄Al₀.₂Y₀.₂Zr₁.₆Si₂PO₁₂ (NaAlY)
Na+,Other,0.345,0.001,Na1.24[(CB8H9)0.26(CB9H10)0.50(B12H12)0.24] (s1)
Na+,Other,0.345,0.0055,Na[(CB8H9)0.38(CB9H10)0.62] (s5)
Na+,Other,0.32,0.00067,"Na₆PS₅Cl (NPSC1, P2₁3)"
Na+,Other,0.35,0.00025,"Na₅PS₄Cl₂ (NPSC2, Amm2)"
Na+,Other,0.449,0.026,Na₄TiP₂O₉ (NTP)
Na+,Other,0.389,1e-07,Na₄SnP₂O₉ (NSP)
Na+,Other,0.192,1.33e-07,Na₃P (in CSA)
Ag+,Other,0.33,0.00016,Ag₁₇(CO₃)₃I₁₁
Ag+,Other,0.38,3e-05,Ag₇P₃O₁₁
Ag+,Other,0.27,0.00121,Ag₇P₃S₁₁
Ag+,Other,0.19,0.01398,Ag₇P₃Se₁₁
Ag+,Other,0.29,0.0011,AgI–AgBr–AgCl/MPA (Br5Cl5)
Ag+,Other,0.28,0.0009,AgI–AgBr–AgCl/MPA (Br10Cl10)
Li+,NASICON,0.3,0.00019,Li1.3Al0.3Ti1.7(PO4)3 (LATP)
Li+,Anti-perovskite,0.51,0.00031,"Li7O2Br3 + Li–Br Schottky defect (Type I, Br vacancy at site I)"
Li+,Anti-perovskite,0.27,0.00076,"Li7O2Br3 + Li–Br Schottky defect (Type II, Br vacancy at site II)"
Li+,Anti-perovskite,0.31,0.00085,Li3OCl
Li+,Anti-perovskite,0.37,0.00024,Li3OBr
Li+,Anti-perovskite,0.3645,0.002725,Li3OBr0.5Cl0.5 (s1–s6 configs)
Li+,Anti-perovskite,0.35,0.00245,"Li3OBr0.5Cl0.5 (s6, high symmetry)"
Li+,Anti-perovskite,0.375,0.00194,Li3OCl0.5Br0.5
Na+,Anti-perovskite,0.17,0.014,Na4OI2
Na+,Anti-perovskite,0.298,1e-05,c-Na3HS (pristine)
Na+,Anti-perovskite,0.12,0.033,Na2.96HS (Na-vacancy)
Na+,Anti-perovskite,0.29,0.0085,"Na3OCl (bulk, pristine, cubic)"
Na+,Anti-perovskite,0.29,0.0066,Na3OCl with Σ3(111) GB
Na+,Anti-perovskite,0.29,0.0056,Na3OCl with Σ5(021) GB
Li+,Anti-perovskite,0.098,0.0054,Li2OHCl (pellet)
Li+,Anti-perovskite,0.31,0.00085,Li3OCl
Li+,Anti-perovskite,0.37,0.00024,Li3OBr
Li+,Anti-perovskite,0.375,0.00194,Li3OCl0.5Br0.5
Li+,Argyrodite,0.23,0.0078,Li5.5PS4.5Cl1.5 (LPSCl1.5)
Li+,Argyrodite,0.29,0.0078,Li6-aPS5-aCl1+a (0 ≤ a ≤ 0.7) series
Li+,Argyrodite,0.297456,0.0148,Li3PS4·2LiBH4·0.5LiCl (x=0.5)
Li+,Argyrodite,0.31,0.0092,Li3PS4·1.5LiBH4·1LiCl (x=1)
Li+,Argyrodite,0.3,0.0052,Li3PS4·1LiBH4·1.5LiCl (x=1.5)
Li+,Argyrodite,0.33,0.0024,Li3PS4·0.5LiBH4·2LiCl (x=2)
Li+,Argyrodite,0.29,0.0004,Li3PS4·2.5LiCl (x=2.5)
Li+,Other,0.26,0.00588,Li9.9SnP2S11.9Br0.1 (pristine)
Li+,Other,0.29,0.00408,Li9.9SnP2S10.9Br0.1O1.0
Li+,Argyrodite,0.18,0.0012,Li6.25Ge0.25As0.75S5I
Li+,Argyrodite,0.15,0.0032,Li6.333Ge0.333As0.667S5I
Li+,Argyrodite,0.184,0.002,Li6AsS5Br
Li+,Argyrodite,0.214,0.01,Li5.7AsS4.7Br1.3
Li+,Argyrodite,0.257,0.0154,Li5.5AsS4.5Br1.5
Li+,Argyrodite,0.38,0.001,Li6PS5Cl
Li+,Argyrodite,0.38,0.0013,Li5.375Mg0.125PS4.625Cl1.375
Li+,Argyrodite,0.36,0.0015,Li5.375Mg0.0625PS4.5Cl1.5
Li+,Argyrodite,0.38,0.0012,Li5.8Mg0.1PS5Cl
Li+,Argyrodite,0.22,0.00311,Li6PS5Cl (This work-1)
Li+,Argyrodite,0.22,0.00571,"Li6PS5Cl (This work-2, scale-up)"
Li+,Argyrodite,0.417,0.0014,Li6PS5Br
Li+,Argyrodite,0.419,0.00096,Li6PS5I
Li+,Halide,0.539,9.6e-08,"Li2MgCl4 (LMC2, pristine)"
Li+,Halide,0.476,1.4e-05,Li1.25Zr0.375Mg0.625Cl4 (LZMC1.25)
Na+,Halide,0.26,0.00286,Na3InCl6
Na+,Halide,0.2,0.0085,Na3In0.667Sc0.333Cl6
Na+,Halide,0.32,0.00068,Na3In0.5Sc0.5Cl6
Na+,Halide,0.24,0.0035,Na3In0.333Sc0.667Cl6
Na+,Halide,0.43,0.0236,Na3ScCl6
Na+,Halide,0.3,0.00022,Na2In0.666Cl4
Na+,Halide,0.52,0.00225,Na2In0.4Sc0.2Cl4
Na+,Halide,0.38,7.099999999999999e-05,Na2In0.2Sc0.4Cl4
Li+,Halide,0.124,0.000158,Li3AlCl6
Li+,Halide,0.29,0.00106,Li3ScCl6
Li+,Halide,0.33,0.001,Li3YCl6
Li+,Halide,0.194,0.0153,Li2Sm2/3Cl4
Li+,Halide,0.24,0.00834,LiScCl4
Li+,Halide,0.27,0.00385,LiAlCl4
Li+,Other,0.27,0.004,Li3InBr6
Li+,Other,0.255,0.000338,Li17In9SnO24 (o-LISO)
Li+,Other,0.552,3.32e-08,ns-LISO (near-stoichiometric DRX)
Li+,Spinel,0.157,0.0103,LiTi2S4
Li+,Spinel,0.151,0.0128,LiTb2S4
Li+,Spinel,0.135,0.0205,LiMn1.5Fe0.5S4
Li+,Spinel,0.146,0.0138,LiMn1.5Mo0.5O4
Li+,Spinel,0.153,0.0111,LiMn1.5V0.5S4
Li+,Spinel,0.149,0.0143,LiMn1.5Tb0.5S4
Li+,Spinel,0.142,0.0165,LiMn1.5Ru0.5S4
Li+,Spinel,0.154,0.0121,LiMn1.5Ta0.5O4
Mg2+,Spinel,0.364,0.00014,MgYb2Se4
Mg2+,Spinel,0.39,3.95e-05,MgSc0.4Y0.4Er0.4Tm0.4Yb0.4Se4
Mg2+,Spinel,0.39,3.95e-05,Mg0.75Sc2Se3.5Br0.5
Na+,Amorphous,0.41,0.0002,"Na3PS4 (x=0, glass–ceramic)"
Na+,Amorphous,0.43,0.0005,"95Na3PS4–5Ca3N2 (x=5, glass–ceramic)"
Na+,Amorphous,0.33,0.000814,"92Na3PS4–8Ca3N2 (x=8, glass–ceramic)"
Na+,Amorphous,0.35,0.0006,"90Na3PS4–10Ca3N2 (x=10, glass–ceramic)"
Li+,Amorphous,0.118,0.0001,Li2ZrCl6
Li+,Halide,0.294,0.00135,Li3ZrCl4O1.5
Li+,Amorphous,0.2505,0.0129,r-PS4 (amorphous)
Li+,Amorphous,0.3065,0.00695,1P2S7 (amorphous)
Li+,Amorphous,0.237,0.0404,1P2S6 (amorphous)
Li+,Amorphous,0.295,0.00268,2P2S7 (amorphous)
Li+,Amorphous,0.349,0.00424,1P2S7–1S
Li+,Amorphous,0.275,0.0177,1P2S6–2S
Li+,Amorphous,0.2515,0.00991,2P2S7–2S
Li+,Amorphous,0.332,0.00114,2P2S6–4S
Li+,Other,0.301,0.00231,β-Li3PS4 (crystalline)
Li+,Other,0.235,0.0149,α-Li3PS4 (crystalline)
Li+,Amorphous,0.174,6.35e-05,Li7P3S11 (crystalline)
Na+,Other,0.18,0.0254,γ–Na3PS4
Ag+,Amorphous,0.24,0.007,50AgI–25Ag2O–25CrO3 (50SISOCO)
Ag+,Amorphous,0.27,0.01,60AgI–20Ag2O–20CrO3 (60SISOCO)
Ag+,Amorphous,0.27,0.011,70AgI–15Ag2O–15CrO3 (70SISOCO)
Li+,Amorphous,0.307,0.00034,Li3PS4 (x=0)
Li+,Amorphous,0.291,0.001,Li3PS3.5Br0.5 (x=0.5)
Li+,Amorphous,0.277,0.00186,Li3PS3Br (x=1.0)
Li+,Other,0.288,0.0007,Li3PS2.5Br1.5 (x=1.5)
Na+,Other,0.39,7.5e-05,Na3PS4
Na+,Amorphous,0.51,1.2e-05,95(0.75Na2S·0.25P2S5)·5Na2SO3
Na+,Amorphous,0.5,1.6e-05,95(0.75Na2S·0.25P2S5)·5Na2SO4
Na+,Amorphous,0.5,1.1e-05,95(0.75Na2S·0.25P2S5)·5Na3PO4
Na+,Halide,0.355,0.004,NaTaCl6 (amorphous)
Na+,Other,0.5,1.3e-05,Na2ZrCl6
Na+,Other,0.35,8.1e-05,Na0.5ZrCl4.5
Na+,Halide,0.5,1.3e-05,Na2ZrCl6 (NZC)
Na+,Halide,0.28,0.000235,2.0-NFZC (x=2.0)
Na+,Halide,0.359,0.0004015,Na2.25-xY0.25Zr0.75Cl6-x (x=1.375–2.000)
Rb+,Amorphous,0.95,0.002,(Rb2O)30(B2O3)70
O2-,Amorphous,0.3,0.0001,"Ce0.8Sm0.2O1.9/Na2CO3 (20 wt% Na2CO3, core–shell)"
Li+,Polymeric,0.21,0.00058,PVDF-g-PAN + 34 wt% LiTFSI
Li+,Polymeric,0.25,0.0014,md-PVDF (2:8 PVDC:PVDF)
H+,Polymeric,0.12,0.00107,"SPPC (Supramolecular Polymer Proton Conductor, DES-GZ/POM)"
Li+,Halide,0.35,0.00204,Li3InCl6 (water-mediated synthesis)
Li+,Halide,0.39,0.00042,Li3HoCl6
Li+,Halide,0.28,0.0013,Li3Ho0.6In0.4Cl6
Li+,Halide,0.33,0.001,Li3YCl6
Li+,Halide,0.31,0.0024,Li3YBr6
Li+,Halide,0.29,0.0031,Li3YCl6-xBrx (x=1.5)
Li+,Halide,0.15,0.00239,Li-UCl3 (LiCl–LaCl3–0.5TaCl5)
Na+,Halide,0.17,0.00363,Na-UCl3 (NaCl–LaCl3–0.5TaCl5)
K+,Halide,0.41,0.00012,K-UCl3 (KCl–LaCl3–0.5TaCl5)
Ag+,Halide,0.11,0.0042,Ag-UCl3 (AgCl–LaCl3–0.5TaCl5)
Li+,Halide,0.25,0.00339,LiGaCl3 (predicted)
Li+,Halide,0.33,0.001,Li3YCl6
Li+,Halide,0.29,0.00119,Li3Y0.2Zr0.6Cl6
Li+,Halide,0.36,0.00035,Li3ErCl6
Li+,Halide,0.33,0.0018,Li3YCl6 (mechanochemical)
Li+,Halide,0.4,0.00065,Li3YCl6 (solid-state synthesis)
Li+,Halide,0.29,0.00119,Li3Y0.2Zr0.6Cl6
Li+,Halide,0.35,0.002,Li3InCl6
Li+,Halide,0.29,0.00106,Li3ScCl6
Na+,Halide,0.23,0.0027,HSE-Na (Halide Heterogeneous Structure Electrolyte – Na+)
Li+,Halide,0.36,0.00038,Li3YbCl6
Li+,Halide,0.29,0.00095,Li2.8Yb0.8Zr0.2Cl6
Li+,Halide,0.24,0.0015,Li2.5Yb0.5Zr0.5Cl6
Li+,Halide,0.3,0.00087,Li2.8Yb0.8Hf0.2Cl6
Li+,Halide,0.25,0.0014,Li2.5Yb0.5Hf0.5Cl6
Li+,Halide,0.28,0.00117,Li2.5ZrCl5F0.5O0.5 (LZCFO)
Li+,Halide,0.34,0.00062,Li3ZrCl6 (reference)
