Ion Type (raw),Ion Type,Structure Type (raw),Structure Group,Doping / and or GB Strategy,Superionic Conductor Formula (Chemical),Conductivity σ (S/cm) (raw),Conductivity σ (S/cm),Activation Energy Ea (eV) (raw),Activation Energy Ea (eV),Temperature (°C)
Li⁺,Li+,UCl₃-type LaCl₃ lattice with 1D channels,Other,Ta doping → La vacancies,Li₀.₃₈₈Ta₀.₂₃₈La₀.₄₇₅Cl₃,3.02e-3 / 30 °C,0.00302,0.197,0.197,30.0
Li⁺,Li+,β-phase (P6₃/mmc),Other,Vacancy engineering (Li + N vacancies),"β-Li₃N (vacancy-rich, 400 rpm – 16 h)",2.14e-3 / 25 °C,0.00214,0.371,0.371,25.0
Li⁺,Li+,Garnet-type (cubic),Other,–,Li₇La₃Zr₂O₁₂ (LLZO),3.0e-4 / 25 °C,0.0003,0.30–0.34,0.3,25.0
F⁻,F-,"Tysonite (trigonal, P3̄c1)",Other,–,LaF₃ (tysonite),–,,–,,
Li⁺,Li+,Garnet–polymer composite (cubic LLZO + PEO),Polymeric,–,Li₇La₃Zr₂O₁₂–PEO (LiClO₄) composite,~1e-4 / 25 °C,0.0001,–,,25.0
Li⁺,Li+,LGPS-type (P4₂/nmc),Other,Si + Cl aliovalent doping,Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,2.5e-2 / 25 °C,0.025,–,,25.0
Li⁺,Li+,LGPS-type (P4₂/nmc),Other,–,Li₉.₆P₃S₁₂,~1e-2 / 25 °C,0.01,–,,25.0
Li⁺,Li+,Borosulfide,Other,–,Li₅B₇S₁₃,7.4e-2 / 25 °C (predicted RT),0.074,–,0.267,25.0
Li⁺,Li+,Borosulfide,Other,–,Li₂B₂S₅,9.7e-3 / 25 °C (predicted RT),0.0097,–,0.32,25.0
Li⁺,Li+,Borosulfide (Cs-substituted),Other,Cs substitution,CsLi₂BS₃,~1e-3 / 25 °C (assumed from Li₃BS₃),0.001,–,,25.0
Li⁺,Li+,Halide (trigonal),Halide,–,Li₃ErCl₆,3e-4 / 25 °C (predicted RT),0.0003,–,0.351,25.0
Li⁺,Li+,Halide (trigonal),Halide,–,Li₃InCl₆,~1e-3 / 25 °C (exp. literature),0.001,–,0.29,25.0
Li⁺,Li+,Oxide-iodate,Other,–,Li₂HIO,~1e-4 / 25 °C (predicted RT),0.0001,–,,25.0
Li⁺,Li+,Oxyfluoride,Halide,–,LiSO₃F,8.2e-2 / 25 °C (predicted RT),0.082,–,,25.0
Li⁺,Li+,Nitridoborohydride,Other,–,LiMgB₃(H₉N)₂,7.9e-3 / 25 °C (predicted RT),0.0079,–,,25.0
