Ion Type (raw),Ion Type (Normalized),Structure Type (raw),Structure Group (Canonical),Doping / and or GB Strategy,superionic conductor Formula (Chemical),Conductivity (raw),Conductivity σ (S/cm) [numeric],Temperature (°C),Activation Energy Ea (raw),Activation Energy Ea (eV)  [smart parsed],"Activation Energy Ea (candidates, eV)",Cycle Life (raw),Structure Family (Canonical)
Li⁺,Li+,UCl₃-type LaCl₃ lattice with 1D channels,Other,Ta doping → La vacancies,Li₀.₃₈₈Ta₀.₂₃₈La₀.₄₇₅Cl₃,3.02e-3 / 30 °C,0.00302,30.0,0.197,0.197,0.197,–,Other / Novel
Li⁺,Li+,β-phase (P6₃/mmc),Other,Vacancy engineering (Li + N vacancies),"β-Li₃N (vacancy-rich, 400 rpm – 16 h)",2.14e-3 / 25 °C,0.00214,25.0,0.371,0.371,0.371,>4000 h (symmetric cell),Other / Novel
Li⁺,Li+,Garnet-type (cubic),Garnet,–,Li₇La₃Zr₂O₁₂ (LLZO),3.0e-4 / 25 °C,0.0003,25.0,0.30–0.34,0.3,0.3; -0.34,–,Garnet
F⁻,F⁻,"Tysonite (trigonal, P3̄c1)",Other,–,LaF₃ (tysonite),–,,,–,,,–,Other / Novel
Li⁺,Li+,Garnet–polymer composite (cubic LLZO + PEO),Garnet,–,Li₇La₃Zr₂O₁₂–PEO (LiClO₄) composite,~1e-4 / 25 °C,0.0001,25.0,–,,,–,Garnet
Li⁺,Li+,LGPS-type (P4₂/nmc),LGPS,Si + Cl aliovalent doping,Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,2.5e-2 / 25 °C,0.025,25.0,–,,,–,Other / Novel
Li⁺,Li+,LGPS-type (P4₂/nmc),LGPS,–,Li₉.₆P₃S₁₂,~1e-2 / 25 °C,0.01,25.0,–,,,–,Other / Novel
Li⁺,Li+,Borosulfide,Other,–,Li₅B₇S₁₃,7.4e-2 / 25 °C (predicted RT),0.074,25.0,–,,,–,Other / Novel
Li⁺,Li+,Borosulfide,Other,–,Li₂B₂S₅,9.7e-3 / 25 °C (predicted RT),0.0097,25.0,–,,,–,Other / Novel
Li⁺,Li+,Borosulfide (Cs-substituted),Other,Cs substitution,CsLi₂BS₃,~1e-3 / 25 °C (assumed from Li₃BS₃),0.001,25.0,–,,,–,Other / Novel
Li⁺,Li+,Halide (trigonal),Halide,–,Li₃ErCl₆,3e-4 / 25 °C (predicted RT),0.0003,25.0,–,,,–,Halide
Li⁺,Li+,Halide (trigonal),Halide,–,Li₃InCl₆,~1e-3 / 25 °C (exp. literature),0.001,25.0,–,,,–,Halide
Li⁺,Li+,Oxide-iodate,Oxide,–,Li₂HIO,~1e-4 / 25 °C (predicted RT),0.0001,25.0,–,,,–,Other / Novel
Li⁺,Li+,Oxyfluoride,Other,–,LiSO₃F,8.2e-2 / 25 °C (predicted RT),0.082,25.0,–,,,–,Other / Novel
Li⁺,Li+,Nitridoborohydride,Nitride,–,LiMgB₃(H₉N)₂,7.9e-3 / 25 °C (predicted RT),0.0079,25.0,–,,,–,Nitride
Li⁺,Li+,Carbodiimide nitride,Nitride,–,Sr₂LiCBr₃N₂,3.3e-5 / 25 °C (marginal RT),3.3e-05,25.0,–,,,–,Nitride
Li⁺,Li+,Selenide,Other,–,LiErSe₂,8.8e-5 / 25 °C (marginal RT),8.8e-05,25.0,–,,,–,Other / Novel
Li⁺,Li+,Borate,Other,–,Li₆Ho(BO₃)₃,5.1e-3 / 25 °C (predicted RT),0.0051,25.0,–,,,–,Other / Novel
