"Formula (Chemical)","Battery Type","Anode","Cathode","Ion Type","Structure Type","Doping / and or GB Strategy","Conductivity σ (S·cm⁻¹) / Temp (°C)","Conductivity σ (S·cm⁻¹) / Temp (°C) normalized","Activation Energy Ea (eV)","Retention %","Retention % normalized","Cycle Life (N cycles or hours)","Cycle Life normalized (cycles)","Synthesis Method (3–5 lines)","Reference (with DOI)","_row_id","Structure Group_x","Structure Group_y"
"Li₀.₃₈₈Ta₀.₂₃₈La₀.₄₇₅Cl₃","ASSLMB","Li metal","LiNi₀.₅Co₀.₂Mn₀.₃O₂","Li⁺","UCl₃-type LaCl₃ lattice","Ta doping","3.02e-3 / 30 °C","0.00302","0.197","","",">100 cycles","100.0","–","[9]","0","Others","Others"
"β-Li₃N (vacancy-rich)","All-solid-state lithium symmetric cell (ASSC)","Li metal","–","Li⁺","β-phase","Vacancy engineering","2.14e-3 / 25 °C","0.00214","0.371","","","Stable >4000 h; CCD up to 45 mA·cm⁻²","1333.33","Same as Table 1","[10]","1","Others","Others"
"β-Li₃N (vacancy-rich)","All-solid-state lithium metal battery (ASSLMB)","Li metal","LiCoO₂ (LCO)","Li⁺","β-phase","Vacancy engineering","2.14e-3 / 25 °C","0.00214","0.371","82.05 %","82.05","5000 cycles @ 95.2 mAh·g⁻¹","5000.0","Full cell with halide SSEs (Li₃InCl₆, Li₃YCl₆) + β-Li₃N interlayer","[10]","2","Others","Others"
"β-Li₃N (vacancy-rich)","All-solid-state lithium metal battery (ASSLMB)","Li metal","NCM83 (LiNi₀.₈₃Co₀.₁₁Mn₀.₀₆O₂)","Li⁺","β-phase","Vacancy engineering","2.14e-3 / 25 °C","0.00214","0.371","92.5 %","92.5","3500 cycles @ 153.6 mAh·g⁻¹","3500.0","Full cell with halide SSEs (Li₃InCl₆, Li₃YCl₆) + β-Li₃N interlayer","[10]","3","Others","Others"
"Li₇La₃Zr₂O₁₂–PEO (LiClO₄) composite","Symmetric lithium battery","⁶Li metal","–","Li⁺","Garnet–polymer composite","–","~1e-4 / 25 °C","0.0001","–","60.47 %","60.47","Stable cycling under ±61 μA·cm⁻²; Li⁺ transport mainly through LLZO","61.0","Same as Table 1","[20]","4","Polymeric","Polymeric"
"Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃","ASSLB (large-current type)","Li₄Ti₅O₁₂","LiNbO₃-coated LiCoO₂","Li⁺","LGPS-type","Si + Cl aliovalent doping","2.5e-2 / 25 °C","0.025","–","≈ 75 %","75.0","Stable up to 500 cycles @100 °C, 18C rate (3 min charge/discharge)","500.0","Same as Table 1","[21]","5","Others","Others"
"Li₉.₆P₃S₁₂","ASSLB (high-voltage type)","Graphite","LiNbO₃-coated LiCoO₂","Li⁺","LGPS-type","–","~1e-2 / 25 °C","0.01","–","≈ 75 %","75.0","Coulombic efficiency 90%, >30 cycles stable at 25 °C","90.0","Same as Table 1","[21]","6","Others","Others"
"Li₁₀GeP₂S₁₂","–","–","–","Li⁺","LGPS-type","–","1.2e-2 / 25 °C (exp.)","0.012","0.17–0.18 (FPMD)","–","","–","","Computational (FPMD, Car-Parrinello)","[34]","7","Others","Others"
"Li₆PS₅Cl","Prototype ASSLB (symmetric cell, lab-scale)","Li metal (blocking electrode)","–","Li⁺","Argyrodite (cubic)","Cl-doping","2.87e-5 → 7.93e-4 / 25 °C","0.000793","0.26–0.40","–","","–","","Wet-chemical (EtOH), vacuum annealing (200–500 °C), pelletizing or thin-film spray","[35]","8","Argyrodite","Argyrodite"
"Li₁₀GeP₂S₁₂","All-solid-state Li battery","In","LiCoO₂ (LiNbO₃-coated)","Li⁺","Thio-LISICON tetragonal","–","1.2e-2 / 27 °C","0.012","0.24","","",">120 mAh·g⁻¹ capacity, ~100% coulombic efficiency after 2nd cycle","120.0","Solid-state reaction: Li₂S + GeS₂ + P₂S₅, 550 °C 8 h in quartz tube","","9","NASICON","Others"
"K₂.92Sb₀.92W₀.08S₄","Solid K–S battery prototype","K metal","K₂Sₓ (4 ≤ x ≤ 6) in carbon paper","K⁺","Vacancy-rich sulfide","W-doping (8%)","7.7e-5 / 25 °C; 1.4e-4 / 40 °C","7.7e-05","0.27","55 %","55.0","40 cycles","40.0","Solid-state + hot-pressing + annealing; assembled in two-compartment cell","[38]","10","Others","Others"
"Li₃YCl₄.₅Br₁.₅","All-solid-state Li-ion (bulk cell)","InLi alloy","NMC811","Li⁺","Halide, P̄3m1","Br substitution","6.1e-3 / 25 °C","0.0061","0.22","–","","Limited cycling (RT, 2.52–4.3 V)","2.52","Hot pressed pellet (200 °C, 294 MPa) used as separator.","[53]","11","Halide","Halide"
"Li₆PS₅Cl (hc-LPSCl_30, hc-LPSCl_BM)","ASSLB full cell","Li–In","NCM811 (LiNi₀.₈Co₀.₁Mn₀.₁O₂)","Li⁺","Argyrodite","Excess P₂S₅ tuning; BM vs liquid-phase","~1.9–2.2 / 25–30","1.9","~0.30","90.1 %","90.1",">400 cycles (LPSCl_30); BM degraded to ~75% after 100 cycles","400.0","Same as above (de novo liquid-phase vs solid-state BM)","[69]","12","Argyrodite","Argyrodite"
"Li₂₁Ge₈P₃S₃₄","Press-cell ASSLB","In/InLi","NCM811 (LiNi₀.₈Co₀.₁Mn₀.₁O₂, LiNbO₃-coated)","Li⁺","Novel orthorhombic slab type","Vacancy introduction via P-for-Ge substitution","~1.0e−3 / 30","0.001","0.2","~73 % after 8 cycles","73.0","~8 cycles at 5 mA g⁻¹ (capacity ~110 mAh g⁻¹ after stabilization)","8.0","Same as Table 1; tested in press-cell configuration","[71]","13","Others","Others"
"Li₂.₁Zr₀.₉₅Cu₀.₀₅Cl₄.₄O₀.₈","ASSLB full cell","Li–In (protected with Li₆PS₅Cl)","LiNi₀.₈₃Co₀.₁₁Mn₀.₀₆O₂ (sc-NCM83)","Li⁺","Halide (Oxychloride, amorphous)","CASE (Cu²⁺ + O²⁻)","2.05e-3 / 25","0.00205","0.287","0.903","90.3","1000 cycles","1000.0","Same as Table 1 (BM with CuCl₂, Li₂O)","[72]","14","Amorphous","Halide"
"Li₇₋ₓ(GeSi)(₁₋ₓ)/₂SbₓS₅I","ASSLB full cell","Li–In","NCM811@Li₃InCl₆","Li⁺","Argyrodite","Multi-cation substitution (Ge, Si, Sb)","3.22e-2 / 25","0.0322","0.17","0.844","84.4","550 cycles","550.0","Same as Table 1 (milling + sintering, hot-press)","[73]","15","Argyrodite","Argyrodite"
"Li₃.₆In₇S₁₁.₈Cl","ASSLB half-cell","Li–In","TiS₂","Li⁺","Sulfide (Spinel-type)","–","1.1e-3 / 25","0.0011","0.26","","","120 cycles stable at 0.2C","120.0","Same as Table 1","[74]","16","Spinel","Spinel"
"Li₁.₆₂₅Al₀.₃₇₅Zr₀.₆₂₅Cl₅.₂₅","ASSLB full cell","Li metal","LiCoO₂","Li⁺","Halide","Al³⁺ substitution, Li-deficient","1.10 / 30","1.1","0.3","0.7","70.0","600 cycles","600.0","Mechanochemical milling; same as Table 1.","[75]","17","Halide","Halide"
"Li₂ZrCl₆ (control)","ASSLB full cell","Li metal","LiCoO₂","Li⁺","Halide","–","–","","–","–","","Poor cycling, high impedance (273 Ω at 9.62 MPa)","273.0","Mechanochemical milling reference sample.","[75]","18","Halide","Halide"
"EG–TiO₂ + LiTFSI","ASSLB full cell","Li metal","LiFePO₄","Li⁺","Surface-chemisorbed oxide nanosheets","–","2.7e-4 / 25","0.00027","0.21","0.94","94.0","200 cycles,","200.0","Same as Table 1 synthesis method","[77]","19","Others","Others"
"Na₃Zr₂Si₂PO₁₂ (NZSP)","Symmetric cell","Na","Na","Na⁺","NASICON","–","3.8e-4 / 30","0.00038","0.3382","30 % after 400 cycles @ 30 °C","30.0","<400 h (failed)","100.0","Same solid-state synthesis as Table 1.","[80]","20","NASICON","NASICON"
"Na₃.₂₀Zr₁.₉₀Zn₀.₁₀Si₂PO₁₂","Symmetric cell","Na","Na","Na⁺","NASICON","Zn²⁺ doping","1.58e-3 / 30","0.00158","0.2721","90.4 % @ 0 °C (1800 cycles)
95.4 % @ 30 °C (780 cycles)","90.4","1800 h (0 °C), >3000 h (30 °C)","450.0","Same as Table 1 synthesis.","[80]","21","NASICON","NASICON"
"Na₃.₁₀Zr₁.₉₀Al₀.₁₀Si₂PO₁₂","Symmetric cell","Na","Na","Na⁺","NASICON","Al³⁺ doping","7.5e-4 / 30","0.00075","0.312","75.7 % after 650 cycles @ 30 °C","75.7","570 h (failed early)","142.5","Same as Table 1 synthesis.","[80]","22","NASICON","NASICON"
"Na₃.₂₀Zr₁.₉₀Zn₀.₁₀Si₂PO₁₂","Full cell (ASSMB)","Na","Na₃V₂(PO₄)₃","Na⁺","NASICON","Zn²⁺ doping","1.58e-3 / 30","0.00158","0.2721","90.4 % @ 0 °C (1800 cycles)
95.4 % @ 30 °C (780 cycles)","90.4","1800 cycles (0 °C), 780 cycles (30 °C)","1800.0","Same as Table 1 synthesis.","[80]","23","NASICON","NASICON"
"NaTi₂(PO₄)₃ (NTP-2 VO-rich)","Half cell (CR2032)","Na metal","–","Na⁺","NASICON","Oxygen vacancies","–","","0.4","94–96%","94.0","300 cycles","300.0","Same PVP-assisted sol-gel as Table 1.","[83]","24","NASICON","NASICON"
"NaTi₂(PO₄)₃ (NTP-2 VO-rich)","Full cell","NTP-2 (VO-rich)","Na₃V₂(PO₄)₃","Na⁺","NASICON","Oxygen vacancies","–","","0.4","62–64%","62.0","250 cycles","250.0","Same as Table 1 synthesis.","[83]","25","NASICON","NASICON"
"Na[(CB8H9)0.04(CB9H10)0.96] (s6)","Na-ASSB","Na metal","NaTi₂(PO₄)₃","Na⁺","Closo-carbaborate","Mixed anion","~1e-3 / RT","0.001","0.29–0.40","capacity retention ≈46%","46.0","50 cycles (capacity fade 70.6 → 32.6 mAh g⁻¹); CE ~99.6%","50.0","Pressed pellet SE; cathode composite (NaTi₂(PO₄)₃ + SE + carbon); C/10 cycling 1.5–2.5 V.","[84]","26","Others","Others"
