"Formula (Chemical)","Ion Type","Structure Type","Cathode","Cycle Life (raw)","Cycle Life (cycles)","Temperature (°C)"
"Li0.388Ta0.238La0.475Cl3","Li+","UCl3-type LaCl3 lattice","LiNi0.5Co0.2Mn0.3O2",">100 cycles","100.0","30.0"
"β-Li3N (vacancy-rich)","Li+","β-phase","-","Stable >4000 h; CCD up to 45 mA·cm-2","4000.0","25.0"
"β-Li3N (vacancy-rich)","Li+","β-phase","LiCoO2 (LCO)","5000 cycles @ 95.2 mAh·g-1","5000.0","25.0"
"β-Li3N (vacancy-rich)","Li+","β-phase","NCM83 (LiNi0.83Co0.11Mn0.06O2)","3500 cycles @ 153.6 mAh·g-1","3500.0","25.0"
"Li7La3Zr2O12-PEO (LiClO4) composite","Li+","Garnet-polymer composite","-","Stable cycling under ±61 μA·cm-2; Li+ transport mainly through LLZO","61.0","25.0"
"Li9.54Si1.74P1.44S11.7Cl0.3","Li+","LGPS-type","LiNbO3-coated LiCoO2","Stable up to 500 cycles @100 °C, 18C rate (3 min charge/discharge)","500.0","25.0"
"Li9.6P3S12","Li+","LGPS-type","LiNbO3-coated LiCoO2","Coulombic efficiency 90%, >30 cycles stable at 25 °C","90.0","25.0"
"Li10GeP2S12","Li+","Thio-LISICON tetragonal","LiCoO2 (LiNbO3-coated)",">120 mAh·g-1 capacity, ~100% coulombic efficiency after 2nd cycle","120.0","27.0"
"K2.92Sb0.92W0.08S4","K+","Vacancy-rich sulfide","K2Sx (4 ≤ x ≤ 6) in carbon paper","40 cycles","40.0","25.0"
"Li3YCl4.5Br1.5","Li+","Halide, P3m1","NMC811","Limited cycling (RT, 2.52-4.3 V)","2.52","25.0"
"Li6PS5Cl (hc-LPSCl_30, hc-LPSCl_BM)","Li+","Argyrodite","NCM811 (LiNi0.8Co0.1Mn0.1O2)",">400 cycles (LPSCl_30); BM degraded to ~75% after 100 cycles","400.0","25.0"
"Li21Ge8P3S34","Li+","Novel orthorhombic slab type","NCM811 (LiNi0.8Co0.1Mn0.1O2, LiNbO3-coated)","~8 cycles at 5 mA g-1 (capacity ~110 mAh g-1 after stabilization)","8.0","30.0"
"Li2.1Zr0.95Cu0.05Cl4.4O0.8","Li+","Halide (Oxychloride, amorphous)","LiNi0.83Co0.11Mn0.06O2 (sc-NCM83)","1000 cycles","1000.0","25.0"
"Li7-x(GeSi)(1-x)/2SbxS5I","Li+","Argyrodite","NCM811@Li3InCl6","550 cycles","550.0","25.0"
"Li1.625Al0.375Zr0.625Cl5.25","Li+","Halide","LiCoO2","600 cycles","600.0","30.0"
"Li2ZrCl6 (control)","Li+","Halide","LiCoO2","Poor cycling, high impedance (273 Ω at 9.62 MPa)","273.0",""
"EG-TiO2 + LiTFSI","Li+","Surface-chemisorbed oxide nanosheets","LiFePO4","200 cycles,","200.0","25.0"
"Na3Zr2Si2PO12 (NZSP)","Na+","NASICON","Na","<400 h (failed)","200.0","30.0"
