"Formula (Chemical)","Ion Type","Structure Type","Cycle Life (N cycles or hours)","Retention %"
"Li0.388Ta0.238La0.475Cl3","Li+","UCl3-type LaCl3 lattice","100 cycles",""
"β-Li3N (vacancy-rich)","Li+","β-phase","4000 hours",""
"β-Li3N (vacancy-rich)","Li+","β-phase","5000 cycles",""
"β-Li3N (vacancy-rich)","Li+","β-phase","3500 cycles",""
"Li7La3Zr2O12-PEO (LiClO4) composite","Li+","Garnet-polymer composite","61",""
"Li9.54Si1.74P1.44S11.7Cl0.3","Li+","LGPS-type","500 cycles",""
"Li9.6P3S12","Li+","LGPS-type","90 cycles",""
"Li10GeP2S12","Li+","LGPS-type","-",""
"Li6PS5Cl","Li+","Argyrodite (cubic)","-",""
"Li10GeP2S12","Li+","Thio-LISICON tetragonal","120 cycles",""
"K2.92Sb0.92W0.08S4","K+","Vacancy-rich sulfide","40 cycles",""
"Li3YCl4.5Br1.5","Li+","Halide, P3m1","2.52",""
"Li3YCl4.5Br1.5","Li+","Halide, P3m1","2.52",""
"Li6PS5Cl (hc-LPSCl_30, hc-LPSCl_BM)","Li+","Argyrodite","400 cycles",""
"Li21Ge8P3S34","Li+","Novel orthorhombic slab type","8 cycles",""
"Li2.1Zr0.95Cu0.05Cl4.4O0.8","Li+","Halide (Oxychloride, amorphous)","1000 cycles",""
"Li7-x(GeSi)(1-x)/2SbxS5I","Li+","Argyrodite","550 cycles",""
"Li3.6In7S11.8Cl","Li+","Sulfide (Spinel-type)","120 cycles",""
"Li1.625Al0.375Zr0.625Cl5.25","Li+","Halide","600 cycles",""
"Li2ZrCl6 (control)","Li+","Halide","273",""
"EG-TiO2 + LiTFSI","Li+","Surface-chemisorbed oxide nanosheets","200 cycles",""
"Na3Zr2Si2PO12 (NZSP)","Na+","NASICON","400 hours",""
"Na3.20Zr1.90Zn0.10Si2PO12","Na+","NASICON","1800 hours",""
"Na3.10Zr1.90Al0.10Si2PO12","Na+","NASICON","570 hours",""
"Na3.20Zr1.90Zn0.10Si2PO12","Na+","NASICON","1800 cycles",""
"NaTi2(PO4)3 (NTP-2 VO-rich)","Na+","NASICON","300 cycles",""
"NaTi2(PO4)3 (NTP-2 VO-rich)","Na+","NASICON","250 cycles",""
"Na[(CB8H9)0.04(CB9H10)0.96] (s6)","Na+","Closo-carbaborate","50 cycles",""
"Na3V2(PO4)3-coated NFM (NFM@5%NVP)","Na+","NASICON","500 cycles",""
"Na3P (NaP5 CSA)","Na+","-","7000 hours",""
"Na3P (NaP5 CSA)","Na+","NASICON (electrolyte: NZMSP)","15 cycles",""
"Cu3.21Bi4.79S9","Na+","Superionic sulfide","325.5 cycles",""
"Cu3.21Bi4.79S9","Na+","NASICON (cathode)","81 cycles",""
"Fe-NiSe2/CoSe2@rGO","Li+","Metal selenide heterostructure","1000 cycles",""
"Fe-NiSe2/CoSe2@rGO","Na+","Metal selenide heterostructure","1000 cycles",""
"Fe-NiSe2/CoSe2@rGO","Li+","Metal selenide heterostructure","50 cycles",""
"Fe-NiSe2/CoSe2@rGO","Na+","Metal selenide heterostructure","50 cycles",""
"Li1.3Al0.3Ti1.7(PO4)3 (LATP, bare)","Li+","NASICON","200 hours",""
"LATP + 10 nm Al2O3 coating","Li+","NASICON","200 hours",""
"LATP + 10 nm Al2O3 + 50 nm Ag coating","Li+","NASICON","200 hours",""
"Li2OHCl (pellet)","Li+","Anti-perovskite (orthorhombic/monoclinic)","80 hours",""
"Li2OHCl-g-PSU","Li+","Anti-perovskite/polymer composite","60 hours",""
"Li2OHCl-g-PAI","Li+","Anti-perovskite/polymer composite","10",""
"Li5.5PS4.5Cl1.5","Li+","Argyrodite (cubic)","5000 hours",""
"Li5.5PS4.5Cl1.5","Li+","Argyrodite","100 cycles",""
"Li3PS4·2LiBH4·0.5LiCl (x=0.5)","Li+","Argyrodite (BH4-/Cl-)","300 cycles",""
"Li6.1P0.95Ga0.05S5Cl (LPSC-0.05)","Li+","Argyrodite","2700 hours",""
"Li6.1P0.95Ga0.05S5Cl (LPSC-0.05)","Li+","Argyrodite","25 cycles",""
"Li9.9SnP2S11.9Br0.1 (LSPSBr)","Li+","Sulfide","100 cycles",""
"Li9.9SnP2S10.9Br0.1O1.0 (LSPSBrO1.0)","Li+","Sulfide (O-doped)","100 cycles",""
"Li9.9SnP2S10.9Br0.1O1.0 (LSPSBrO1.0)","Li+","Sulfide/Halide dual-layer","100 cycles",""
"LiPSClBr vs. O-LiPSClBr","Li+","Argyrodite","87.4",""
"Li6.333Ge0.333As0.667S5I","Li+","Argyrodite","40 cycles",""
"Li5.5AsS4.5Br1.5","Li+","Argyrodite","100 cycles",""
